team_name,team_page,player_name,player_country,player_nick,player_hltv_url,photo_player,player_flag
Spirit,https://www.hltv.org/team/7020/spirit,Leonid 'chopper' Vishnyakov,Russia,chopper,/player/7716/chopper,https://img-cdn.hltv.org/playerbodyshot/rl_4NtItqpjwLHZL12oMNb.png?ixlib=java-2.1.0&w=400&s=e017b74a48aab673759886475cdfac23,https://www.hltv.org/img/static/flags/30x20/RU.gif
Spirit,https://www.hltv.org/team/7020/spirit,Dmitry 'sh1ro' Sokolov,Russia,sh1ro,/player/16920/sh1ro,https://img-cdn.hltv.org/playerbodyshot/-SSnjUN7O5HVENMxG2yReD.png?ixlib=java-2.1.0&w=400&s=3d3dd660e3f0d5287910e6f7d3bbe335,https://www.hltv.org/img/static/flags/30x20/RU.gif
Spirit,https://www.hltv.org/team/7020/spirit,Boris 'magixx' Vorobiev,Russia,magixx,/player/18317/magixx,https://img-cdn.hltv.org/playerbodyshot/KL_btdQvRC_EPR0c0HdMuZ.png?ixlib=java-2.1.0&w=400&s=c019ad746ce84b793e7ca7d2bcadf57a,https://www.hltv.org/img/static/flags/30x20/RU.gif
Spirit,https://www.hltv.org/team/7020/spirit,Myroslav 'zont1x' Plakhotia,Ukraine,zont1x,/player/20423/zont1x,https://img-cdn.hltv.org/playerbodyshot/9W11pewP-V5WZM0KR3GH4v.png?ixlib=java-2.1.0&w=400&s=32961c4bb7501a4fcb91d64f66cf204d,https://www.hltv.org/img/static/flags/30x20/UA.gif
Spirit,https://www.hltv.org/team/7020/spirit,Danil 'donk' Kryshkovets,Russia,donk,/player/21167/donk,https://img-cdn.hltv.org/playerbodyshot/snAlUrdIT8ifI4qzNHfLow.png?ixlib=java-2.1.0&w=400&s=e4106a3742a9cd38c16c10e5a642e9f6,https://www.hltv.org/img/static/flags/30x20/RU.gif
Vitality,https://www.hltv.org/team/9565/vitality,Dan 'apEX' Madesclaire,France,apEX,/player/7322/apex,https://img-cdn.hltv.org/playerbodyshot/nbkBkY04pLo_1P6b59hVxy.png?ixlib=java-2.1.0&w=400&s=8a0e930e1585977f71c44fabfe3ddac1,https://www.hltv.org/img/static/flags/30x20/FR.gif
Vitality,https://www.hltv.org/team/9565/vitality,Robin 'ropz' Kool,Estonia,ropz,/player/11816/ropz,https://img-cdn.hltv.org/playerbodyshot/9DBlv6Sx2VqOucU6zCNXcL.png?ixlib=java-2.1.0&w=400&s=daae6f2a89cfea534792b6bfd35c3c72,https://www.hltv.org/img/static/flags/30x20/EE.gif
Vitality,https://www.hltv.org/team/9565/vitality,Mathieu 'ZywOo' Herbaut,France,ZywOo,/player/11893/zywoo,https://img-cdn.hltv.org/playerbodyshot/Xkqvuwl9o12Mi20Vd0lzHl.png?ixlib=java-2.1.0&w=400&s=f64d118affc3f2fbadcebf861d70400d,https://www.hltv.org/img/static/flags/30x20/FR.gif
Vitality,https://www.hltv.org/team/9565/vitality,Shahar 'flameZ' Shushan,Israel,flameZ,/player/16693/flamez,https://img-cdn.hltv.org/playerbodyshot/KDqr5Bwa2JMgtclUOoV3rc.png?ixlib=java-2.1.0&w=400&s=dcf0e087f6987c11084379e92443f416,https://www.hltv.org/img/static/flags/30x20/IL.gif
Vitality,https://www.hltv.org/team/9565/vitality,William 'mezii' Merriman,United Kingdom,mezii,/player/18462/mezii,https://img-cdn.hltv.org/playerbodyshot/Xohhl1ddcNtQat_mYmhk-d.png?ixlib=java-2.1.0&w=400&s=63b4c6aca2e8e86c94b8bdbda4bbe60c,https://www.hltv.org/img/static/flags/30x20/GB.gif
Natus Vincere,https://www.hltv.org/team/4608/natus-vincere,Aleksi 'Aleksib' Virolainen,Finland,Aleksib,/player/9816/aleksib,https://img-cdn.hltv.org/playerbodyshot/OFJrdQAr40I1h89iBaG5aN.png?ixlib=java-2.1.0&w=400&s=91666c368028703de4e736c0e904804c,https://www.hltv.org/img/static/flags/30x20/FI.gif
Natus Vincere,https://www.hltv.org/team/4608/natus-vincere,Mihai 'iM' Ivan,Romania,iM,/player/14759/im,https://img-cdn.hltv.org/playerbodyshot/IYM20iuANIAujxE4W934rY.png?ixlib=java-2.1.0&w=400&s=ffbd1cb6c86b5b2a30dc50209eda3b56,https://www.hltv.org/img/static/flags/30x20/RO.gif
Natus Vincere,https://www.hltv.org/team/4608/natus-vincere,Valeriy 'b1t' Vakhovskiy,Ukraine,b1t,/player/18987/b1t,https://img-cdn.hltv.org/playerbodyshot/jJaKMbk_6UEmikiR3x7yT_.png?ixlib=java-2.1.0&w=400&s=14ba664f1be97cb4eedf7d221be9bfbf,https://www.hltv.org/img/static/flags/30x20/UA.gif
Natus Vincere,https://www.hltv.org/team/4608/natus-vincere,Justinas 'jL' Lekavicius,Lithuania,jL,/player/19206/jl,https://img-cdn.hltv.org/playerbodyshot/Hk97br455QyqjUqy3-_th3.png?ixlib=java-2.1.0&w=400&s=deabbdfacd7e73767e75da3c21edd8bf,https://www.hltv.org/img/static/flags/30x20/LT.gif
Natus Vincere,https://www.hltv.org/team/4608/natus-vincere,Ihor 'w0nderful' Zhdanov,Ukraine,w0nderful,/player/20127/w0nderful,https://img-cdn.hltv.org/playerbodyshot/4Jzn0iyLiOzV70nCLgZSCM.png?ixlib=java-2.1.0&w=400&s=0d0f17f96888ff46dbd8e32f82942277,https://www.hltv.org/img/static/flags/30x20/UA.gif
G2,https://www.hltv.org/team/5995/g2,Janusz 'Snax' Pogorzelski,Poland,Snax,/player/2553/snax,https://img-cdn.hltv.org/playerbodyshot/PCtBkxFzx6KVhnaGxgVoQa.png?ixlib=java-2.1.0&w=400&s=f0b074cfa6e7dfb5cbf439b5fdd8e08b,https://www.hltv.org/img/static/flags/30x20/PL.gif
G2,https://www.hltv.org/team/5995/g2,Nemanja 'huNter-' Kovač,Bosnia and Herzegovina,huNter-,/player/3972/hunter,https://img-cdn.hltv.org/playerbodyshot/JE11ZcPrGFg7coPnvLmvVX.png?ixlib=java-2.1.0&w=400&s=940963bd380ff9b0449ede87c016607b,https://www.hltv.org/img/static/flags/30x20/BA.gif
G2,https://www.hltv.org/team/5995/g2,Mario 'malbsMd' Samayoa,Guatemala,malbsMd,/player/11617/malbsmd,https://img-cdn.hltv.org/playerbodyshot/ctUILRDjbNaDhZTIkGKwXF.png?ixlib=java-2.1.0&w=400&s=6918113c9cad418df3fad983dc894890,https://www.hltv.org/img/static/flags/30x20/GT.gif
G2,https://www.hltv.org/team/5995/g2,Ilya 'm0NESY' Osipov,Russia,m0NESY,/player/19230/m0nesy,https://img-cdn.hltv.org/playerbodyshot/Y8o_lPwfvlhbDUtd6xPKW4.png?ixlib=java-2.1.0&w=400&s=35373625927be94165cc34d4cd8895d4,https://www.hltv.org/img/static/flags/30x20/RU.gif
G2,https://www.hltv.org/team/5995/g2,Nikita 'HeavyGod' Martynenko,Israel,HeavyGod,/player/20447/heavygod,https://img-cdn.hltv.org/playerbodyshot/3zxur0TGNX3nvFVm0jcRYA.png?ixlib=java-2.1.0&w=400&s=09ef4f562e55e3376945b33a9e6602d9,https://www.hltv.org/img/static/flags/30x20/IL.gif
Eternal Fire,https://www.hltv.org/team/11251/eternal-fire,Engin 'MAJ3R' Küpeli,Turkey,MAJ3R,/player/150/maj3r,https://img-cdn.hltv.org/playerbodyshot/nnPbCYR8DQQ72C7ibLvahL.png?ixlib=java-2.1.0&w=400&s=00b38017f63176d180291489d0e6ebd1,https://www.hltv.org/img/static/flags/30x20/TR.gif
Eternal Fire,https://www.hltv.org/team/11251/eternal-fire,Ismailcan 'XANTARES' Dörtkardeş,Turkey,XANTARES,/player/7938/xantares,https://img-cdn.hltv.org/playerbodyshot/_V9cxyb8lJMrdQul0uIEPv.png?ixlib=java-2.1.0&w=400&s=ce24ded87116afd5bf199996bdabe0fa,https://www.hltv.org/img/static/flags/30x20/TR.gif
Eternal Fire,https://www.hltv.org/team/11251/eternal-fire,Özgür 'woxic' Eker,Turkey,woxic,/player/8574/woxic,https://img-cdn.hltv.org/playerbodyshot/fF7RSP0vxh6g0SHPVHolsa.png?ixlib=java-2.1.0&w=400&s=efc0d478b8a3e8468aad23b0e77a7eec,https://www.hltv.org/img/static/flags/30x20/TR.gif
Eternal Fire,https://www.hltv.org/team/11251/eternal-fire,Ali 'Wicadia' Haydar Yalçın,Turkey,Wicadia,/player/21243/wicadia,https://img-cdn.hltv.org/playerbodyshot/w1S5T63TognCAa7PdQ7Ok7.png?ixlib=java-2.1.0&w=400&s=1346731c3dfb3cc3802302f4fd9e5f9e,https://www.hltv.org/img/static/flags/30x20/TR.gif
Eternal Fire,https://www.hltv.org/team/11251/eternal-fire,Samet 'jottAAA' Köklü,Turkey,jottAAA,/player/22361/jottaaa,https://img-cdn.hltv.org/playerbodyshot/zdj4FmASFChD1cChR79TsJ.png?ixlib=java-2.1.0&w=400&s=d90d409432c76b4afaeb35876d802bb3,https://www.hltv.org/img/static/flags/30x20/TR.gif
FaZe,https://www.hltv.org/team/6667/faze,Finn 'karrigan' Andersen,Denmark,karrigan,/player/429/karrigan,https://img-cdn.hltv.org/playerbodyshot/7xNUYJWQ2UD1WYEMJfAp2a.png?ixlib=java-2.1.0&w=400&s=11c47c21f9b16abaa29adaca460a575c,https://www.hltv.org/img/static/flags/30x20/DK.gif
FaZe,https://www.hltv.org/team/6667/faze,Håvard 'rain' Nygaard,Norway,rain,/player/8183/rain,https://img-cdn.hltv.org/playerbodyshot/me3Q2ue15YY77MF7dR5Acj.png?ixlib=java-2.1.0&w=400&s=ac072a05cdd8a214df94718b987da5eb,https://www.hltv.org/img/static/flags/30x20/NO.gif
FaZe,https://www.hltv.org/team/6667/faze,Jonathan 'EliGE' Jablonowski,United States,EliGE,/player/8738/elige,https://img-cdn.hltv.org/playerbodyshot/Iba6Szy_G9atMUElBWwNey.png?ixlib=java-2.1.0&w=400&s=8c389c708aa9d23f5afa24db0613111c,https://www.hltv.org/img/static/flags/30x20/US.gif
FaZe,https://www.hltv.org/team/6667/faze,David 'frozen' Čerňanský,Slovakia,frozen,/player/9960/frozen,https://img-cdn.hltv.org/playerbodyshot/qnHrMIU5Ud8IYT5j_SlXvN.png?ixlib=java-2.1.0&w=400&s=0d14a7d0ba70339fd6a534b4f6156135,https://www.hltv.org/img/static/flags/30x20/SK.gif
FaZe,https://www.hltv.org/team/6667/faze,Helvijs 'broky' Saukants,Latvia,broky,/player/18053/broky,https://img-cdn.hltv.org/playerbodyshot/s8WJZpMPv0YBCr9l8rXJT4.png?ixlib=java-2.1.0&w=400&s=451b9fa69a6d7bf382a975638f274f24,https://www.hltv.org/img/static/flags/30x20/LV.gif
The MongolZ,https://www.hltv.org/team/6248/the-mongolz,Garidmagnai 'bLitz' Byambasuren,Mongolia,bLitz,/player/20194/blitz,https://img-cdn.hltv.org/playerbodyshot/OyPvTCirqQ7is_UZ9IN2pP.png?ixlib=java-2.1.0&w=400&s=77ff7bd25b0c292f7cee0eb9ba5d0499,https://www.hltv.org/img/static/flags/30x20/MN.gif
The MongolZ,https://www.hltv.org/team/6248/the-mongolz,Sodbayar 'Techno' Munkhbold,Mongolia,Techno,/player/20275/techno,https://img-cdn.hltv.org/playerbodyshot/3sR-yy7Qs0QYxLMdTtx44Y.png?ixlib=java-2.1.0&w=400&s=c914b7a76d4ab4c597ef0f225022d42e,https://www.hltv.org/img/static/flags/30x20/MN.gif
The MongolZ,https://www.hltv.org/team/6248/the-mongolz,Munkhbold 'Senzu' Azbayar,Mongolia,Senzu,/player/20903/senzu,https://img-cdn.hltv.org/playerbodyshot/213AxOZRlLDinO46k8DW59.png?ixlib=java-2.1.0&w=400&s=a03fd60a12d3d436f5804a7bc9904948,https://www.hltv.org/img/static/flags/30x20/MN.gif
The MongolZ,https://www.hltv.org/team/6248/the-mongolz,Ayush 'mzinho' Batbold,Mongolia,mzinho,/player/21001/mzinho,https://img-cdn.hltv.org/playerbodyshot/6sZB598_QrrMNWIO-h0-OT.png?ixlib=java-2.1.0&w=400&s=9a5746940a6c831eedf4b5f97e78790b,https://www.hltv.org/img/static/flags/30x20/MN.gif
The MongolZ,https://www.hltv.org/team/6248/the-mongolz,Usukhbayar '910' Banzragch,Mongolia,910,/player/21809/910,https://img-cdn.hltv.org/playerbodyshot/L6iR03jTU2VKawIELAAc3I.png?ixlib=java-2.1.0&w=400&s=a36a166a9a3f676f4167a39b73e19367,https://www.hltv.org/img/static/flags/30x20/MN.gif
MOUZ,https://www.hltv.org/team/4494/mouz,Ludvig 'Brollan' Brolin,Sweden,Brollan,/player/13666/brollan,https://img-cdn.hltv.org/playerbodyshot/fwSkBoOcV8xiLVQPur2A2-.png?ixlib=java-2.1.0&w=400&s=b4d87ed893b447ea7142e4bcbc9d64be,https://www.hltv.org/img/static/flags/30x20/SE.gif
MOUZ,https://www.hltv.org/team/4494/mouz,Ádám 'torzsi' Torzsás,Hungary,torzsi,/player/18072/torzsi,https://img-cdn.hltv.org/playerbodyshot/XkUoqNBGadjbfzfNHFU-Tr.png?ixlib=java-2.1.0&w=400&s=5af611bfb0c9f5bc7b72b38541410be0,https://www.hltv.org/img/static/flags/30x20/HU.gif
MOUZ,https://www.hltv.org/team/4494/mouz,Lotan 'Spinx' Giladi,Israel,Spinx,/player/18221/spinx,https://img-cdn.hltv.org/playerbodyshot/Im_6f6wuw8qxNFACxoAIYI.png?ixlib=java-2.1.0&w=400&s=48583ec96ec712ebf08bc6d530800bad,https://www.hltv.org/img/static/flags/30x20/IL.gif
MOUZ,https://www.hltv.org/team/4494/mouz,Jimi 'Jimpphat' Salo,Finland,Jimpphat,/player/18850/jimpphat,https://img-cdn.hltv.org/playerbodyshot/SdQDBTXpmzcHCZBF1RWRtK.png?ixlib=java-2.1.0&w=400&s=f69e53ecd0b4d2e5f80017ad01518538,https://www.hltv.org/img/static/flags/30x20/FI.gif
MOUZ,https://www.hltv.org/team/4494/mouz,Dorian 'xertioN' Berman,Israel,xertioN,/player/20312/xertion,https://img-cdn.hltv.org/playerbodyshot/7p22H6GcCBd_TyGIl3lyiC.png?ixlib=java-2.1.0&w=400&s=317a37a331d6b1912b27e3c6232d3f05,https://www.hltv.org/img/static/flags/30x20/IL.gif
Liquid,https://www.hltv.org/team/5973/liquid,Justin 'jks' Savage,Australia,jks,/player/4679/jks,https://img-cdn.hltv.org/playerbodyshot/ZAlgCZsbHLbGcHhwfG_SAE.png?ixlib=java-2.1.0&w=400&s=c5154490de1258bd68ec4a2be8599e2c,https://www.hltv.org/img/static/flags/30x20/AU.gif
Liquid,https://www.hltv.org/team/5973/liquid,Keith 'NAF' Markovic,Canada,NAF,/player/8520/naf,https://img-cdn.hltv.org/playerbodyshot/MPjEoOolexLD0XfG4fQpHX.png?ixlib=java-2.1.0&w=400&s=be642fe64bb3cf9d86671b5fced75873,https://www.hltv.org/img/static/flags/30x20/CA.gif
Liquid,https://www.hltv.org/team/5973/liquid,Guy 'NertZ' Iluz,Israel,NertZ,/player/9436/nertz,https://img-cdn.hltv.org/playerbodyshot/p2ui-oB_FlhR2L2RNeHikb.png?ixlib=java-2.1.0&w=400&s=2193962a383663295f2edb17cb82ac5b,https://www.hltv.org/img/static/flags/30x20/IL.gif
Liquid,https://www.hltv.org/team/5973/liquid,Russel 'Twistzz' Van Dulken,Canada,Twistzz,/player/10394/twistzz,https://img-cdn.hltv.org/playerbodyshot/eIbaTg6Qio0uFtyTMKYC90.png?ixlib=java-2.1.0&w=400&s=8a72bf599c5a30b6094f96204e0cd70f,https://www.hltv.org/img/static/flags/30x20/CA.gif
Liquid,https://www.hltv.org/team/5973/liquid,Roland 'ultimate' Tomkowiak,Poland,ultimate,/player/21763/ultimate,https://img-cdn.hltv.org/playerbodyshot/DIlW_HmnWL5ZeA-bMFVsSe.png?ixlib=java-2.1.0&w=400&s=a8265d983a110f35658f19ffbc42d539,https://www.hltv.org/img/static/flags/30x20/PL.gif
Virtus.pro,https://www.hltv.org/team/5378/virtuspro,Denis 'electroNic' Sharipov,Russia,electroNic,/player/8918/electronic,https://img-cdn.hltv.org/playerbodyshot/MS0-25Ox-Wad2LhA-CPFKx.png?ixlib=java-2.1.0&w=400&s=be07dc8c0c1c196e68d5e90df9c67f50,https://www.hltv.org/img/static/flags/30x20/RU.gif
Virtus.pro,https://www.hltv.org/team/5378/virtuspro,Evgenii 'FL1T' Lebedev,Russia,FL1T,/player/12732/fl1t,https://img-cdn.hltv.org/playerbodyshot/JjSlbwOZwW1PM1_xVvy1nP.png?ixlib=java-2.1.0&w=400&s=8af488f4afcfa0cf8f80ca7b9c9770be,https://www.hltv.org/img/static/flags/30x20/RU.gif
Virtus.pro,https://www.hltv.org/team/5378/virtuspro,Petr 'fame' Bolyshev,Russia,fame,/player/20101/fame,https://img-cdn.hltv.org/playerbodyshot/SI6kV-gdQS_-tMZNYokY5V.png?ixlib=java-2.1.0&w=400&s=af2cc20c5b59122dedf27c10c64b17d3,https://www.hltv.org/img/static/flags/30x20/RU.gif
Virtus.pro,https://www.hltv.org/team/5378/virtuspro,Timur 'FL4MUS' Marev,Russia,FL4MUS,/player/20994/fl4mus,https://img-cdn.hltv.org/playerbodyshot/02Z_Xmotd6K5IivbhXnSHR.png?ixlib=java-2.1.0&w=400&s=918db0b237bdacc7c075b33e589742f7,https://www.hltv.org/img/static/flags/30x20/RU.gif
Virtus.pro,https://www.hltv.org/team/5378/virtuspro,Kaisar 'ICY' Faiznurov,Kazakhstan,ICY,/player/21439/icy,https://img-cdn.hltv.org/playerbodyshot/mTVqhyWy-kyc3Yvh0HpCyS.png?ixlib=java-2.1.0&w=400&s=027f95420e6d4389a31d28c4caaaefa0,https://www.hltv.org/img/static/flags/30x20/KZ.gif
